Entity,year,diabetes,obesity,calories
Cote d'Ivoire,2030,6.0955915,16.18765,2939.2554
Cote d'Ivoire,2031,5.492573,8.832834,2734.3843
Croatia,2022,9.0958605,18.42363,3230.152
Croatia,2023,9.268539,18.008764,3065.2058
Croatia,2024,10.8642435,22.547878,3189.8865
Croatia,2025,9.265675,21.401,3005.7292
Croatia,2026,5.615175,17.962776,2878.6538
Croatia,2027,4.557614,20.851068,2924.1624
Croatia,2028,5.3305764,23.251995,3000.4045
Croatia,2029,7.0452666,25.640139,3239.4685
Croatia,2030,6.569355,18.483894,2964.529
Croatia,2031,6.676035,14.463396,2664.7505
Cuba,2022,8.488558,15.340502,2341.9963
Cuba,2023,7.2535987,10.550321,2158.4504
Cuba,2024,7.490453,7.1002355,2058.092
Cuba,2025,6.487626,4.8378606,2042.5677
Cuba,2026,7.0442615,4.3151574,2075.3835
Cuba,2027,8.127552,4.217944,2162.0762
Cuba,2028,9.996879,4.7744827,2242.888
Cuba,2029,11.601401,3.853171,2481.372
Cuba,2030,10.206251,9.497198,2999.3474
Cuba,2031,9.146472,14.164667,2415.8027
Cyprus,2022,8.340772,21.31541,2939.0598
Cyprus,2023,8.172433,22.195961,2938.371
Cyprus,2024,8.130598,22.873905,2931.5498
Cyprus,2025,8.031752,22.30019,2897.3396
Cyprus,2026,8.269951,22.875185,2904.5322
Cyprus,2027,8.369854,23.033306,2943.0847
Cyprus,2028,8.270889,22.556484,3001.0354
Cyprus,2029,8.566301,21.183302,3005.9355
Cyprus,2030,8.889594,20.501822,2982.9731
Cyprus,2031,9.390448,20.155306,2941.8262
Czechia,2022,11.093822,17.411728,2673.376
Czechia,2023,9.54029,13.538378,2498.505
Czechia,2024,12.268003,17.359755,2589.3613
Czechia,2025,12.720537,17.921795,2503.7737
Czechia,2026,9.166878,9.053282,2287.5269
Czechia,2027,8.410476,4.847321,2243.2505
Czechia,2028,11.528754,4.9551682,2191.8545
Czechia,2029,13.375814,6.2323546,2367.2158
Czechia,2030,7.5730147,20.563131,3045.0042
Czechia,2031,11.948125,24.892654,3024.1587
Democratic Republic of Congo,2022,7.9072447,11.680802,2404.545
Democratic Republic of Congo,2023,7.791702,12.105189,2473.0635
Democratic Republic of Congo,2024,7.461178,11.424477,2426.0388
Democratic Republic of Congo,2025,7.9636717,11.98593,2430.9023
Democratic Republic of Congo,2026,9.116681,13.760394,2471.911
Democratic Republic of Congo,2027,8.527023,13.410181,2351.6113
Democratic Republic of Congo,2028,7.0212216,12.800972,2348.0664
Democratic Republic of Congo,2029,5.879628,11.163854,2515.9202
Democratic Republic of Congo,2030,6.7835946,10.727072,2546.6934
Democratic Republic of Congo,2031,7.798857,10.976479,2384.6453
Denmark,2022,3.7505848,10.788654,2753.4004
Denmark,2023,2.4848228,10.861134,2589.805
Denmark,2024,1.3146005,11.2858,2489.722
Denmark,2025,1.8205649,10.574922,2432.527
Denmark,2026,3.7253516,9.44149,2286.8313
Denmark,2027,5.5557957,8.533676,2139.7334
Denmark,2028,6.9129868,7.572783,2040.9022
Denmark,2029,7.557511,7.3149214,2054.2444
Denmark,2030,4.263278,13.87189,2590.2634
Denmark,2031,4.129497,18.126265,3393.481
Djibouti,2022,9.06782,16.434214,2610.0132
Djibouti,2023,8.981931,15.70219,2622.319
Djibouti,2024,8.549866,14.385587,2635.1206
Djibouti,2025,8.275453,13.660161,2686.8953
Djibouti,2026,7.992443,13.641783,2740.9019
Djibouti,2027,6.670985,10.307052,2737.1143
Djibouti,2028,6.703558,11.117021,2505.0176
Djibouti,2029,8.104772,15.132312,2762.592
Djibouti,2030,9.582129,19.72152,3140.609
Djibouti,2031,9.958874,17.83785,3230.1711
Dominica,2022,7.5801306,22.547968,2901.0386
Dominica,2023,8.299249,23.287653,2853.8926
Dominica,2024,8.508529,22.02444,2725.3313
Dominica,2025,8.412768,21.115438,2604.0952
Dominica,2026,9.020775,22.388348,2584.0605
Dominica,2027,9.03114,22.786943,2669.4387
Dominica,2028,9.612882,23.703207,2751.6494
Dominica,2029,8.906811,20.882988,2705.8645
Dominica,2030,6.3484855,15.323408,2680.4219
Dominica,2031,8.41056,14.341299,2639.8115
Dominican Republic,2022,6.7725563,18.844873,2965.6626
Dominican Republic,2023,7.0318885,20.063248,2798.907
Dominican Republic,2024,7.5994678,20.635473,2739.0757
Dominican Republic,2025,7.5535517,19.972466,2712.3389
Dominican Republic,2026,12.477483,27.17187,2734.9727
Dominican Republic,2027,11.267863,24.968647,2735.3003
Dominican Republic,2028,8.595144,23.89533,2922.1616
Dominican Republic,2029,7.2807927,20.95002,2955.976
Dominican Republic,2030,6.6588593,14.289129,2778.432
Dominican Republic,2031,8.187802,18.957241,2987.3423
East Timor,2022,9.381057,14.9520035,2537.5498
East Timor,2023,9.817431,16.012535,2719.5771
East Timor,2024,8.192826,14.727618,2573.1257
East Timor,2025,8.187006,16.9877,2684.0593
East Timor,2026,8.292154,16.496845,2628.115
East Timor,2027,8.132877,16.674734,2616.6274
East Timor,2028,8.903079,18.272509,2844.579
East Timor,2029,8.650861,17.395277,3048.3396
East Timor,2030,6.3937836,10.358946,2779.869
East Timor,2031,8.097529,11.261595,2563.9814
Ecuador,2022,7.891075,12.704092,3125.7217
Ecuador,2023,8.70719,12.587069,3002.0945
Ecuador,2024,10.972718,16.32738,2954.7808
Ecuador,2025,10.737576,17.354866,2895.7024
Ecuador,2026,6.280302,9.626399,2643.184
Ecuador,2027,5.2571216,11.4426,2607.6106
Ecuador,2028,6.3848915,15.934204,2792.7273
Ecuador,2029,7.204534,18.81538,2960.423
Ecuador,2030,10.067115,22.361425,3226.3745
Ecuador,2031,9.437179,20.477537,3339.4368
Egypt,2022,10.680052,18.437634,2459.5693
Egypt,2023,12.174603,21.087341,2583.789
Egypt,2024,9.62254,18.501709,2505.4338
Egypt,2025,9.580465,20.44148,2687.28
